case,prompt_id,mode,seed,second_refresh,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
text_202,text,early1,202,1,30.334796871989965,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.707978367805481,18.741961384769297,0.07412432003644558
text_202,text,early3,202,3,30.586976900696754,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.7078365087509155,18.309139253733946,0.0760145299574908
text_202,text,early4,202,4,30.537897240370512,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.7217707633972168,19.00685951067046,0.07235852409811581
texture_101,texture,early3,101,3,30.784455355256796,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.31406131386756897,11.599818115913298,0.1832123600579555
texture_101,texture,early4,101,4,30.66081476956606,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.2949623167514801,11.458921103414617,0.18766851487502553
texture_101,texture,early1,101,1,29.771218340843916,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.3372909724712372,12.145646663850458,0.17777581308402268
texture_202,texture,early4,202,4,31.63988956809044,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.24469031393527985,11.146424248494633,0.19293517069099778
texture_202,texture,early1,202,1,31.279201239347458,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.21408720314502716,10.590194365794934,0.21108252332101463
texture_202,texture,early3,202,3,32.337336622178555,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.235041081905365,11.041894374799927,0.19713295331967423
glass_101,glass,early1,101,1,32.752919398248196,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.46765410900115967,14.766627586404113,0.12308847763959099
glass_101,glass,early3,101,3,32.73371958360076,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5139444470405579,15.219493383713322,0.1126634086658752
glass_101,glass,early4,101,4,32.712040554732084,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.4950660169124603,14.982657855059504,0.12206100264405893
glass_202,glass,early3,202,3,32.577090837061405,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5755141973495483,16.69347939904191,0.1000290964163986
glass_202,glass,early4,202,4,32.44322054833174,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.45516514778137207,15.108344043038022,0.122411401287403
glass_202,glass,early1,202,1,32.22409522905946,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.4323621988296509,14.616947943691212,0.132961308099086
