case_id,step,age,block,feature_relative_l1,feature_cosine_distance,baseline_guided_noise_error,replacement_guided_noise_error,error_reduction,recovery_fraction,suffix_milliseconds
portrait_seed0,15,2,down_block_1,0.2964339406195053,0.03291462881186602,0.09300296008586884,0.039184629917144775,0.05381833016872406,0.578673303721022,2048.323974609375
portrait_seed0,15,2,down_block_2,0.3283784919955476,0.0554117593119805,0.09300296008586884,0.05875234305858612,0.034250617027282715,0.3682744828300025,1976.5050048828125
portrait_seed0,15,2,down_block_3,0.31195017548633014,0.04972285354715145,0.09300296008586884,0.07418031245470047,0.018822647631168365,0.20238761877890313,1958.885986328125
portrait_seed0,15,2,mid_block,0.2698572539846062,0.03554909762108183,0.09300296008586884,0.07441053539514542,0.01859242469072342,0.19991218208062617,1936.47412109375
portrait_seed0,15,2,up_block_3,0.2124187310449212,0.01961328921211747,0.09300296008586884,0.07375124096870422,0.019251719117164612,0.20700114382799928,1891.804931640625
portrait_seed0,15,2,up_block_2,0.22250318969321733,0.02411043764710863,0.09300296008586884,0.05676169693470001,0.03624126315116882,0.3896785985919972,1762.4117431640625
portrait_seed0,15,2,up_block_1,0.25444411266620315,0.0337818883928418,0.09300296008586884,0.035493455827236176,0.05750950425863266,0.6183620844490824,1518.5003662109375
portrait_seed0,15,2,up_boundary,0.2316374127119113,0.028085282070573148,0.09300296008586884,0.0,0.09300296008586884,1.0,453.9836120605469
portrait_seed0,18,2,down_block_0,0.2852841828879721,0.03648999238612105,0.14289268851280212,0.0,0.14289268851280212,1.0,2244.480712890625
portrait_seed0,18,2,down_block_1,0.30825953856120814,0.04346536126397804,0.14289268851280212,0.07562041282653809,0.06727227568626404,0.4707887883307405,2088.856201171875
portrait_seed0,18,2,down_block_2,0.3096858282875927,0.049311561406815474,0.14289268851280212,0.09859301149845123,0.04429967701435089,0.31002059990201647,2019.5780029296875
portrait_seed0,18,2,down_block_3,0.2894324724201502,0.041503814469372124,0.14289268851280212,0.11321048438549042,0.029682204127311707,0.20772374315465694,2003.2635498046875
portrait_seed0,18,2,mid_block,0.2504437524080508,0.02924063576570035,0.14289268851280212,0.11338984966278076,0.029502838850021362,0.20646849854307364,1981.802490234375
portrait_seed0,18,2,up_block_3,0.20654760327114283,0.018447733491048113,0.14289268851280212,0.11333339661359787,0.029559291899204254,0.20686357158544164,1937.8203125
