case,prompt_id,seed,step,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
animal_seed202,animal,202,12,channel_mean,0.1966877579689026,0.9798467755317688,0.3565022647380829,0.196697399020195,-4.901703792842937e-05,1396.20703125
animal_seed202,animal,202,12,channel_affine,0.1966877579689026,0.9770592451095581,0.35548803210258484,0.19344258308410645,0.01649911981461105,1387.1461181640625
animal_seed202,animal,202,12,oracle,0.1966877579689026,0.0,0.0,0.045509688556194305,0.7686196180883325,1424.8028564453125
animal_seed202,animal,202,15,channel_mean,0.1506464034318924,0.9539846181869507,0.2302970588207245,0.1443691849708557,0.04166855841251217,1478.4278564453125
animal_seed202,animal,202,15,channel_affine,0.1506464034318924,0.9461214542388916,0.22839884459972382,0.14161184430122375,0.05997195369322698,1471.0535888671875
animal_seed202,animal,202,15,oracle,0.1506464034318924,0.0,0.0,0.05620930716395378,0.6268791960282932,1489.5294189453125
animal_seed202,animal,202,18,channel_mean,0.20461870729923248,0.9061728119850159,0.23059293627738953,0.19343166053295135,0.05467264901601248,1523.1512451171875
animal_seed202,animal,202,18,channel_affine,0.20461870729923248,0.8815890550613403,0.2243371456861496,0.18813852965831757,0.08054091367518249,1514.864013671875
animal_seed202,animal,202,18,oracle,0.20461870729923248,0.0,0.0,0.09822375327348709,0.5199668956472998,1532.175048828125
interior_seed101,interior,101,4,channel_mean,0.09249567985534668,0.9724990129470825,0.6711385846138,0.09559199213981628,-0.033475209753708546,1110.8004150390625
interior_seed101,interior,101,4,channel_affine,0.09249567985534668,0.9778989553451538,0.674865186214447,0.09293343126773834,-0.004732668737353559,1104.9927978515625
interior_seed101,interior,101,4,oracle,0.09249567985534668,0.0,0.0,0.011404481716454029,0.8767025472509699,1176.0155029296875
interior_seed101,interior,101,9,channel_mean,0.1587284356355667,1.0011625289916992,0.4703657329082489,0.1649952232837677,-0.03948119077157195,1317.2333984375
interior_seed101,interior,101,9,channel_affine,0.1587284356355667,0.9926555156707764,0.46636897325515747,0.16201399266719818,-0.020699233999728693,1312.732666015625
interior_seed101,interior,101,9,oracle,0.1587284356355667,0.0,0.0,0.028384840115904808,0.8211735660201736,1327.4573974609375
interior_seed101,interior,101,12,channel_mean,0.10651817917823792,1.000673532485962,0.38589516282081604,0.10707798600196838,-0.005255505004396841,1367.89013671875
interior_seed101,interior,101,12,channel_affine,0.10651817917823792,0.9895451664924622,0.3816036581993103,0.10523520410060883,0.012044658362797157,1364.2396240234375
interior_seed101,interior,101,12,oracle,0.10651817917823792,0.0,0.0,0.027443911880254745,0.7423546657295692,1369.178466796875
interior_seed101,interior,101,15,channel_mean,0.1005549505352974,0.9724334478378296,0.27810630202293396,0.09568828344345093,0.04839808548399752,1406.338623046875
interior_seed101,interior,101,15,channel_affine,0.1005549505352974,0.9620786309242249,0.27514493465423584,0.09509557485580444,0.05429246049478755,1402.6624755859375
interior_seed101,interior,101,15,oracle,0.1005549505352974,0.0,0.0,0.04129111021757126,0.5893677039493246,1417.6343994140625
interior_seed101,interior,101,18,channel_mean,0.137383371591568,0.9363875985145569,0.2590321898460388,0.12532854080200195,0.08774592332327004,1454.363525390625
interior_seed101,interior,101,18,channel_affine,0.137383371591568,0.9114313721656799,0.25212860107421875,0.12374042719602585,0.09930564549035635,1448.487548828125
interior_seed101,interior,101,18,oracle,0.137383371591568,0.0,0.0,0.07224298268556595,0.4741504605059502,1465.65576171875
interior_seed202,interior,202,4,channel_mean,0.09350889176130295,0.9757806062698364,0.6818667650222778,0.0985192134976387,-0.0535812332064146,1112.9228515625
interior_seed202,interior,202,4,channel_affine,0.09350889176130295,0.9704222679138184,0.6781224012374878,0.09284832328557968,0.0070642316819397016,1107.957763671875
interior_seed202,interior,202,4,oracle,0.09350889176130295,0.0,0.0,0.008892061188817024,0.9049067845706535,1172.0145263671875
interior_seed202,interior,202,9,channel_mean,0.07938482612371445,0.9931523203849792,0.36917299032211304,0.08002437651157379,-0.008056330398238323,1310.500244140625
interior_seed202,interior,202,9,channel_affine,0.07938482612371445,0.9987573027610779,0.3712564706802368,0.07925621420145035,0.001620107123037197,1299.4320068359375
interior_seed202,interior,202,9,oracle,0.07938482612371445,0.0,0.0,0.021185481920838356,0.7331293276649293,1327.3106689453125
interior_seed202,interior,202,12,channel_mean,0.10084091126918793,1.0015968084335327,0.3201882541179657,0.10005652904510498,0.007778412691939009,1398.567138671875
interior_seed202,interior,202,12,channel_affine,0.10084091126918793,0.9996660947799683,0.31957104802131653,0.09889181703329086,0.01932840760129676,1383.04296875
interior_seed202,interior,202,12,oracle,0.10084091126918793,0.0,0.0,0.029273463413119316,0.7097064768189589,1406.2510986328125
interior_seed202,interior,202,15,channel_mean,0.09158850461244583,0.9859046339988708,0.2545540928840637,0.08892546594142914,0.029076123496996332,1458.6416015625
interior_seed202,interior,202,15,channel_affine,0.09158850461244583,0.9742336869239807,0.2515407204627991,0.08828586339950562,0.03605956038823048,1442.890625
interior_seed202,interior,202,15,oracle,0.09158850461244583,0.0,0.0,0.03958365321159363,0.5678098099855354,1482.823486328125
interior_seed202,interior,202,18,channel_mean,0.1188446581363678,0.9356793165206909,0.24656780064105988,0.10940257459878922,0.07944895198187456,1501.466796875
interior_seed202,interior,202,18,channel_affine,0.1188446581363678,0.9074175953865051,0.23912034928798676,0.10825520753860474,0.0891032947026718,1474.8116455078125
interior_seed202,interior,202,18,oracle,0.1188446581363678,0.0,0.0,0.0670340433716774,0.43595240692468085,1481.097900390625
architecture_seed101,architecture,101,4,channel_mean,0.07204380631446838,0.9720247387886047,0.5589920282363892,0.07219371199607849,-0.002080757379139228,1100.1995849609375
architecture_seed101,architecture,101,4,channel_affine,0.07204380631446838,0.9959280490875244,0.5727383494377136,0.07160944491624832,0.006029128948630113,1094.9913330078125
