case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,dropped_refresh,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
nature_101,nature,drop_early8,101,31.37879327312112,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.5730375051498413,12.191821333009207,0.19322351692548764
nature_202,nature,drop_late8,202,29.207923255860806,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.7504308819770813,19.77859054110069,0.06882816389495251
nature_202,nature,drop_early8,202,29.406989969313145,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.45588329434394836,14.58986723263031,0.13869082880955116
nature_202,nature,drop_middle8,202,28.72926489636302,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.7526267766952515,19.946871465799372,0.06753820780835121
objects_101,objects,drop_early8,101,29.53539587929845,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.5132058262825012,12.89947351249782,0.16226957732555913
objects_101,objects,drop_middle8,101,29.624551501125097,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.7126592993736267,17.386196471434253,0.08497723847432853
objects_101,objects,drop_late8,101,29.399035822600126,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.702049970626831,17.295858516990453,0.08588678696576287
objects_202,objects,drop_middle8,202,28.656001448631287,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.6432316303253174,18.408270043180785,0.0821434519649331
objects_202,objects,drop_late8,202,28.6402933485806,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.647443950176239,18.682864512209648,0.07985036513384651
text_101,text,drop_late8,101,28.861730128526688,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.5386239886283875,14.85329039851,0.12177862030228757
text_101,text,drop_early8,101,28.83401082456112,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.49010366201400757,14.021003017043505,0.13587757684046928
