case_id,step,age,kind,baseline_guided_noise_error,guided_noise_error,error_reduction,recovery_fraction,milliseconds
architecture_seed0,15,2,suffix_only,0.08981996774673462,0.08358234167098999,0.006237626075744629,0.06944587303051437,1589.5504150390625
architecture_seed0,15,2,activation_plus_suffix,0.08981996774673462,0.04012380167841911,0.049696166068315506,0.5532863940504165,1593.4971923828125
architecture_seed0,18,2,activation_only,0.14421792328357697,0.14421792328357697,0.0,0.0,485.7693786621094
architecture_seed0,18,2,suffix_only,0.14421792328357697,0.12895096838474274,0.015266954898834229,0.10586031577236542,1613.7657470703125
architecture_seed0,18,2,activation_plus_suffix,0.14421792328357697,0.07600496709346771,0.06821295619010925,0.47298528946351226,1612.5504150390625
architecture_seed1,4,2,activation_only,0.09213633835315704,0.09213633835315704,0.0,0.0,366.8153991699219
architecture_seed1,4,2,suffix_only,0.09213633835315704,0.09166204929351807,0.00047428905963897705,0.005147687309007604,1076.732177734375
architecture_seed1,4,2,activation_plus_suffix,0.09213633835315704,0.013416159898042679,0.07872017845511436,0.8543879631224461,1116.554443359375
architecture_seed1,9,2,activation_only,0.08025186508893967,0.08025186508893967,0.0,0.0,377.6203918457031
architecture_seed1,9,2,suffix_only,0.08025186508893967,0.08082757890224457,-0.0005757138133049011,-0.007173837177078221,1233.82958984375
architecture_seed1,9,2,activation_plus_suffix,0.08025186508893967,0.017138101160526276,0.06311376392841339,0.7864460702373351,1245.123291015625
architecture_seed1,12,2,activation_only,0.0651201605796814,0.0651201605796814,0.0,0.0,395.5824279785156
architecture_seed1,12,2,suffix_only,0.0651201605796814,0.062046296894550323,0.003073863685131073,0.047202950019907826,1285.5711669921875
architecture_seed1,12,2,activation_plus_suffix,0.0651201605796814,0.022359773516654968,0.04276038706302643,0.6566382312694787,1302.1337890625
architecture_seed1,15,2,activation_only,0.08755138516426086,0.08755138516426086,0.0,0.0,410.6578674316406
architecture_seed1,15,2,suffix_only,0.08755138516426086,0.07978230714797974,0.007769078016281128,0.08873735123327922,1334.197998046875
architecture_seed1,15,2,activation_plus_suffix,0.08755138516426086,0.03461495414376259,0.052936431020498276,0.6046327070803139,1348.482177734375
architecture_seed1,18,2,activation_only,0.14171749353408813,0.14171749353408813,0.0,0.0,424.0768737792969
architecture_seed1,18,2,suffix_only,0.14171749353408813,0.12647642195224762,0.015241071581840515,0.10754544976604805,1379.2135009765625
architecture_seed1,18,2,activation_plus_suffix,0.14171749353408813,0.07301552593708038,0.06870196759700775,0.48478113663845224,1385.53662109375
texture_seed0,4,2,activation_only,0.06164581701159477,0.06164581701159477,0.0,0.0,360.14727783203125
texture_seed0,4,2,suffix_only,0.06164581701159477,0.06265822798013687,-0.001012410968542099,-0.016423027832556388,1209.5008544921875
texture_seed0,4,2,activation_plus_suffix,0.06164581701159477,0.011078694835305214,0.05056712217628956,0.8202847269714755,1180.872802734375
texture_seed0,9,2,activation_only,0.123855359852314,0.123855359852314,0.0,0.0,424.0732116699219
texture_seed0,9,2,suffix_only,0.123855359852314,0.1269095540046692,-0.003054194152355194,-0.024659361984794494,1391.4969482421875
texture_seed0,9,2,activation_plus_suffix,0.123855359852314,0.013320205733180046,0.11053515411913395,0.8924535381507659,1393.794921875
texture_seed0,12,2,activation_only,0.07955754548311234,0.07955754548311234,0.0,0.0,456.6920471191406
texture_seed0,12,2,suffix_only,0.07955754548311234,0.07690456509590149,0.002652980387210846,0.033346684731167246,1473.270751953125
texture_seed0,12,2,activation_plus_suffix,0.07955754548311234,0.020102789625525475,0.05945475585758686,0.747317623948156,1482.236572265625
texture_seed0,15,2,activation_only,0.1352934092283249,0.1352934092283249,0.0,0.0,477.547119140625
texture_seed0,15,2,suffix_only,0.1352934092283249,0.13143590092658997,0.0038575083017349243,0.028512167176043934,1537.8399658203125
texture_seed0,15,2,activation_plus_suffix,0.1352934092283249,0.03857908770442009,0.0967143215239048,0.7148487282236125,1544.8314208984375
