case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,psnr_db,ssim,mean_absolute_rgb_error
library_202,library,uniform9,202,31.354550402611494,3640.37158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,15.280510062786714,0.5129581093788147,0.11964965521120557
library_202,library,stage_aware9,202,31.27910353988409,3641.12158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,11.638016126771413,0.20626062154769897,0.19467967413609322
library_202,library,drop_middle8,202,28.463754948228598,3639.37158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,15.09030041249159,0.5061679482460022,0.12298610412996579
night_101,night,fixed3,101,26.492553368210793,3640.37158203125,20,7,13,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,15.133298478799727,0.537794291973114,0.10664664374457465
night_101,night,uniform9,101,31.54515367373824,3640.37158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,14.725989116222888,0.5259132981300354,0.10665166518267463
night_101,night,stage_aware9,101,32.10705001652241,3641.12158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,14.351369805782443,0.5155125856399536,0.114293271731707
night_101,night,drop_middle8,101,28.992473114281893,3639.37158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,14.765936730437996,0.5283262133598328,0.10736432542987898
night_101,night,dpm20,101,60.029839396476746,3531.55908203125,20,20,0,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
night_202,night,uniform9,202,31.220467817038298,3640.37158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,16.155219479936754,0.6085301637649536,0.09785559161815767
night_202,night,stage_aware9,202,31.365936897695065,3641.12158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,14.143213979070541,0.49428480863571167,0.12872472526201234
night_202,night,drop_middle8,202,28.736243352293968,3639.37158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,15.732375365436912,0.5756797194480896,0.10372364817101971
night_202,night,dpm20,202,59.70284463092685,3531.55908203125,20,20,0,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
